Window,Day 1,Day 2,Day 3
81,0.131304912391,0.141105857124,0.142615740695
82,0.132695518008,0.141303097444,0.143386808445
83,0.133482055058,0.140708003083,0.143939594837
84,0.133230481437,0.140054378665,0.144908680676
85,0.132294100223,0.139403110932,0.145165767464
86,0.132150589542,0.139631406693,0.145159831901
87,0.132787276867,0.139097238616,0.145400490884
88,0.133743903282,0.138441339102,0.14628383788
89,0.134090072925,0.137230789974,0.14792832509
90,0.134885851022,0.136902905018,0.149605564908
91,0.135448639328,0.136717592656,0.150990382297
92,0.135961188736,0.136144204291,0.151510736717
93,0.138632969465,0.135365319769,0.152644587312
94,0.139989165801,0.138317847619,0.155033409519
95,0.142328299939,0.138303880977,0.155204479339
96,0.143767585598,0.137359295751,0.156401183987
97,0.145127848051,0.136895052447,0.156892090455
98,0.146467099258,0.136476379277,0.157309533816
99,0.146088329069,0.135919251337,0.157928988222
100,0.146164334079,0.134866625141,0.156038630434
101,0.145751135682,0.134247775066,0.155865247289
102,0.144909147416,0.134135844872,0.155950085434
103,0.143005747176,0.134034671133,0.156562746647
104,0.142615386216,0.134276232459,0.156592537659
105,0.143501598617,0.134276902803,0.156252441305
106,0.142899664717,0.134463184808,0.156559915693
107,0.141208667332,0.134602391899,0.157126203243
108,0.139682632897,0.13433779483,0.156728589061
109,0.137841157904,0.13554795029,0.155549203808
110,0.136977270669,0.136266169041,0.154485815135
111,0.136491413718,0.135922601704,0.152915785571
112,0.135356210422,0.135650911609,0.151941431128
113,0.134367267866,0.135840807562,0.150381930739
114,0.133417532053,0.1337787755,0.149331360915
115,0.132543254708,0.133421704637,0.148587576303
116,0.132258616266,0.134799854416,0.147730668285
117,0.131111115993,0.134943159398,0.147697908047
118,0.132367120575,0.135452854546,0.1462762531
119,0.134746578918,0.135799144829,0.146076737427
120,0.135025783535,0.137687711277,0.14676336934
121,0.136541465449,0.136863509194,0.146825082016
122,0.136879877733,0.137298822564,0.146689682574
123,0.137611945203,0.138180229479,0.146100157385
124,0.140148510204,0.139136679317,0.145562549319
125,0.140291286961,0.13922356056,0.145253602121
126,0.141131055292,0.139451389772,0.144727833559
127,0.141807319179,0.139638983842,0.143833327323
128,0.142834609535,0.140104805124,0.144040971227
129,0.144650571708,0.140101065127,0.143973363266
130,0.14644414616,0.138947094888,0.14428251389
131,0.14718775981,0.138026309869,0.144578421295
132,0.14926117598,0.137569701157,0.144200596291
133,0.150135351127,0.137721229975,0.144764792102
134,0.150542363915,0.13810961558,0.14414371283
135,0.150417977659,0.136542322428,0.144392163558
136,0.14972933581,0.13532350264,0.144249083905
137,0.150229177984,0.135947791179,0.144278213909
138,0.148973965809,0.134806053359,0.144793818582
139,0.147326960487,0.134021010789,0.144644278439
140,0.14707299444,0.13288943683,0.144681555045
141,0.146636551352,0.133766411709,0.145031909
142,0.147057916186,0.133136716211,0.145189803452
143,0.148246853418,0.131814257478,0.145716584762
144,0.146200322308,0.130129759291,0.145801653569
145,0.1467222951,0.130211500447,0.145103982842
146,0.147145496193,0.128848345733,0.146281749998
147,0.148677962104,0.127968311379,0.147832470576
